CBSA Code,RentGrowth
21300,0.0272
21340,0.0253
21340,0.0253
21420,0.0625
21500,0.0688
21660,0.0132
21820,0.0009
22140,0.0267
22180,0.0016
22180,0.0016
22380,0.0043
22420,0.0271
22500,0.0188
22500,0.0188
22520,0.0467
22520,0.0467
22540,0.048
22660,0.0109
23060,0.0363
23060,0.0363
23060,0.0363
23420,0.0223
23460,0.0647
23540,0.0026
23540,0.0026
23580,-0.0207
23900,0.0056
24020,0.0238
24020,0.0238
24140,-0.0149
24260,0.0594
24260,0.0594
24260,0.0594
24260,0.0594
24300,0.0315
24420,0.0135
24500,0.0494
24540,0.0122
24580,0.0377
24580,0.0377
24580,0.0377
24780,0.0176
25060,0.0371
25060,0.0371
25060,0.0371
25220,-0.0403
25260,0.0239
25500,0.039
25500,0.039
25620,0.0318
25620,0.0318
25620,0.0318
25980,0.1353
25980,0.1353
26140,0.023
26300,0.1028
26380,-0.0118
26380,-0.0118
26620,-0.027
26620,-0.027
26820,0.0158
26820,0.0158
26820,0.0158
26980,0.0206
26980,0.0206
27060,0.0023
27100,0.0138
27140,0.0362
27140,0.0362
27140,0.0362
27140,0.0362
27140,0.0362
27140,0.0362
27180,0.0049
27180,0.0049
27180,0.0049
27260,-0.03
27260,-0.03
27260,-0.03
27260,-0.03
27260,-0.03
27340,0.0036
27500,0.0313
27620,0.0613
27620,0.0613
27620,0.0613
27620,0.0613
27740,0.0615
27740,0.0615
27740,0.0615
27780,0.087
27860,0.0647
27860,0.0647
27900,0.0217
27900,0.0217
27980,-0.0177
27980,-0.0177
28100,0.0306
28420,0.0199
28420,0.0199
28740,0.0077
28940,0.0134
28940,0.0134
28940,0.0134
28940,0.0134
28940,0.0134
28940,0.0134
28940,0.0134
28940,0.0134
28940,0.0134
29020,0.0874
29180,-0.0006
29180,-0.0006
29180,-0.0006
29180,-0.0006
29180,-0.0006
29200,0.0411
29200,0.0411
29200,0.0411
29340,-0.0018
29340,-0.0018
29540,0.0632
29700,0.0221
29740,0.0325
29940,0.0224
30020,0.0138
30020,0.0138
30140,0.0183
30340,0.0412
30620,0.0288
30700,0.0201
30700,0.0201
30980,-0.0154
30980,-0.0154
30980,-0.0154
31020,0.0148
31180,0.0079
31180,0.0079
31180,0.0079
31340,0.0086
31340,0.0086
31340,0.0086
31340,0.0086
31340,0.0086
31460,0.0292
31540,0.0317
31540,0.0317
31540,0.0317
31540,0.0317
31740,0.0499
31740,0.0499
31900,0.0298
32780,0.0239
32900,0.0202
33140,0.0344
33220,0.0207
33260,0.0319
33260,0.0319
33540,0.0052
33660,0.0243
33700,0.0219
33740,0.0128
33740,0.0128
33780,0.0295
33860,0.0348
33860,0.0348
33860,0.0348
33860,0.0348
34060,0.0228
34060,0.0228
34100,0.0548
34100,0.0548
34620,-0.0063
34740,0.0465
34900,0.0231
35100,-0.0398
35100,-0.0398
35100,-0.0398
35660,0.0132
36100,-0.0236
36140,0.0666
36220,0.0539
36420,0.0241
36420,0.0241
36420,0.0241
36420,0.0241
36420,0.0241
36420,0.0241
36420,0.0241
36780,0.033
36980,0.0289
36980,0.0289
36980,0.0289
37460,0.0096
37460,0.0096
37900,0.0271
37900,0.0271
37900,0.0271
37900,0.0271
37900,0.0271
38220,0.0223
38220,0.0223
38220,0.0223
38300,0.0225
38300,0.0225
38300,0.0225
38300,0.0225
38300,0.0225
38300,0.0225
38300,0.0225
38340,0.0108
38540,-0.0083
38940,-0.0237
38940,-0.0237
39140,-0.0394
39380,-0.0021
39460,-0.1208
39540,0.0174
39580,-0.0313
39580,-0.0313
39580,-0.0313
39660,0.0042
39660,0.0042
39660,0.0042
39740,0.0396
39820,0.0208
39900,0.0077
39900,0.0077
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40060,0.0325
40220,0.021
40220,0.021
40220,0.021
40220,0.021
40220,0.021
40220,0.021
40340,-0.0109
40340,-0.0109
40340,-0.0109
40340,-0.0109
40380,0.0358
40380,0.0358
40380,0.0358
40380,0.0358
40380,0.0358
40380,0.0358
40420,0.0441
40420,0.0441
40580,0.0188
40580,0.0188
40660,-0.0306
40980,0.0458
41060,0.0339
41060,0.0339
41100,-0.0153
41420,0.0013
41420,0.0013
41500,0.0269
41620,-0.0095
41620,-0.0095
41660,0.0058
41660,0.0058
42140,0.0355
42220,-0.0026
42340,0.0054
42340,0.0054
42340,0.0054
42680,-0.039
42700,0.0307
43100,0.0141
43300,-0.0043
43420,0.0401
43620,-0.0071
43620,-0.0071
43620,-0.0071
43620,-0.0071
43900,0.0036
43900,0.0036
44100,0.0535
44100,0.0535
44140,0.0528
44140,0.0528
44180,0.0195
44180,0.0195
44180,0.0195
44180,0.0195
44180,0.0195
44220,0.037
44300,-0.0199
44420,0.0453
44420,0.0453
44420,0.0453
44940,0.0355
45060,0.049
45060,0.049
45060,0.049
45220,0.0237
45220,0.0237
45220,0.0237
45220,0.0237
45460,0.0339
45460,0.0339
45460,0.0339
45460,0.0339
45540,-0.0363
45780,0.0217
45780,0.0217
45780,0.0217
45820,0.0423
45820,0.0423
45820,0.0423
45820,0.0423
45820,0.0423
45940,0.0173
46060,-0.0033
46140,0.039
46140,0.039
46140,0.039
46140,0.039
46140,0.039
46140,0.039
46140,0.039
46220,0.0476
46220,0.0476
46220,0.0476
46340,-0.0118
46660,0.0381
46660,0.0381
46660,0.0381
46660,0.0381
46700,0.0182
47020,0.0187
47020,0.0187
47380,0.0098
47380,0.0098
47460,0.0146
47460,0.0146
47580,0.0001
47580,0.0001
47580,0.0001
47940,0.0289
47940,0.0289
47940,0.0289
48060,0.0238
48140,-0.0077
48300,0.0403
48300,0.0403
48620,0.0222
48620,0.0222
48620,0.0222
48620,0.0222
48620,0.0222
48660,0.0163
48660,0.0163
48660,0.0163
48700,0.0422
48900,-0.006
48900,-0.006
49180,0.0114
49180,0.0114
49180,0.0114
49180,0.0114
49180,0.0114
49420,-0.0044
49700,0.031
49700,0.031
49740,0.0164
